id_subsistema;nom_subsistema;id_estado;nom_estado;nom_usina;id_tipousina;nom_tipocombustivel;id_ons;ceg;din_instante;val_potenciainstalada;val_dispoperacional;val_dispsincronizada
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 07:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 08:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 09:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 10:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 11:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 12:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 13:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 14:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 15:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 16:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 17:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 18:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 19:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 20:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 21:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 22:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-04 23:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 00:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 01:00:00;250.0;223.44;86.72
N;Norte;AM;Amazonas;Balbina;UHE;Hidráulica;AMBA;UHE.PH.AM.000190-2.01;2025-02-05 02:00:00;250.0;223.44;86.72
