id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
SE;SUDESTE/CENTRO-OESTE;2025-01-02 06:00:00;25018.98599999;4510.194;4.0;2352.181;35795.499;-3910.138
S;SUL;2025-01-02 06:00:00;6643.261;25.152;163.737;902.228;11047.885;-3313.507
NE;NORDESTE;2025-01-02 07:00:00;2187.954;444.962;12870.14999999;7439.19499999;12662.606;10279.65499999
N;NORTE;2025-01-02 07:00:00;3388.822;1571.813;315.124;490.231;7161.435;-1395.445
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 07:00:00;34715.724;6564.703;13258.088;16104.153;70642.67;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 07:00:00;22994.529;4523.822;4.0;6066.928;38543.52;-4954.24099999
S;SUL;2025-01-02 07:00:00;6144.419;24.106;68.81399999;2107.799;12275.107;-3929.969
NE;NORDESTE;2025-01-02 08:00:00;2169.395;450.522;11499.50699999;8841.414;12969.43399999;9991.404
N;NORTE;2025-01-02 08:00:00;3209.15399999;1562.626;306.795;861.44199999;7376.482;-1436.465
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 08:00:00;33404.22;6564.763;11854.668;22479.538;74303.19;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 08:00:00;22385.849;4527.419;4.0;9505.589;40766.469;-4343.612
S;SUL;2025-01-02 08:00:00;5639.82199999;24.196;44.366;3271.093;13190.804;-4211.327
NE;NORDESTE;2025-01-02 09:00:00;2191.66;452.467;9163.62099999;9148.608;13007.728;7948.628
N;NORTE;2025-01-02 09:00:00;3284.693;1554.754;286.574;1226.151;7624.39299999;-1272.22099999
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 09:00:00;34273.732;6533.463;9480.967;26081.762;76369.92;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 09:00:00;22821.906;4501.65;4.0;11447.567;42016.494;-3241.371
S;SUL;2025-01-02 09:00:00;5975.473;24.592;26.77199999;4259.43599999;13721.309;-3435.036
NE;NORDESTE;2025-01-02 10:00:00;2184.50099999;448.648;8116.82199999;9780.717;13200.073;7330.615
N;NORTE;2025-01-02 10:00:00;3266.55;1516.194;289.637;1471.80699999;7775.855;-1231.667
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 10:00:00;34132.343;6437.183;8438.254;30245.875;79253.66;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 10:00:00;22642.323;4447.736;4.0;13986.764;43885.588;-2804.765
S;SUL;2025-01-02 10:00:00;6038.969;24.605;27.795;5006.58699999;14392.139;-3294.183
NE;NORDESTE;2025-01-02 11:00:00;2194.10099999;449.499;6851.804;10023.585;13295.853;6223.136
N;NORTE;2025-01-02 11:00:00;3248.69299999;1467.608;310.329;1535.656;7717.09399999;-1154.808
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 11:00:00;34705.533;6356.439;7346.216;32330.901;80739.09;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 11:00:00;22763.84099999;4414.75;4.5;15534.762;44899.17599999;-2181.32299999
S;SUL;2025-01-02 11:00:00;6498.89799999;24.582;179.583;5236.89799999;14826.96599999;-2887.005
NE;NORDESTE;2025-01-02 12:00:00;2183.33799999;451.432;5833.76299999;9964.963;13158.441;5275.055
N;NORTE;2025-01-02 12:00:00;3244.867;1463.181;307.628;1458.606;7605.14299999;-1130.861
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 12:00:00;35518.548;6311.713;6533.86;32063.899;80428.02;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 12:00:00;23168.81199999;4372.517;5.0;15794.985;45226.11099999;-1884.79699999
S;SUL;2025-01-02 12:00:00;6921.531;24.583;387.469;4845.34499999;14438.325;-2259.397
NE;NORDESTE;2025-01-02 13:00:00;2229.75799999;457.497;6093.33999999;9690.698;13477.21099999;4994.082
N;NORTE;2025-01-02 13:00:00;3580.544;1455.788;320.708;1336.972;7651.784;-957.772
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 13:00:00;38675.499;6316.155;6823.69;29998.937;81814.28;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 13:00:00;24652.573;4378.238;5.0;14686.627;45967.072;-2244.634
S;SUL;2025-01-02 13:00:00;8212.62399999;24.632;404.642;4284.64;14718.21399999;-1791.676
NE;NORDESTE;2025-01-02 14:00:00;2354.42;450.228;7686.381;8611.708;13946.229;5156.508
N;NORTE;2025-01-02 14:00:00;4842.863;1452.164;366.57;1129.901;7728.20199999;63.29599999
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 14:00:00;41744.201;6295.609;8486.46;26950.144;83476.41;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 14:00:00;26687.86699999;4368.617;5.0;13559.45;46866.173;-2245.239
S;SUL;2025-01-02 14:00:00;7859.051;24.6;428.509;3649.085;14935.81;-2974.565
NE;NORDESTE;2025-01-02 15:00:00;2617.733;472.178;9194.035;6803.66;14206.306;4881.3
N;NORTE;2025-01-02 15:00:00;6068.62099999;1468.984;325.431;863.17;7835.34699999;890.85899999
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 15:00:00;45514.438;6333.303;10100.674;22026.136;83974.55;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 15:00:00;28729.53399999;4367.199;5.0;11675.238;47373.98699999;-2597.01599999
S;SUL;2025-01-02 15:00:00;8098.55;24.94199999;576.208;2684.068;14558.911;-3175.143
